,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
CoC,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK-500,"1,056",972,839,86.30%,579,477,0,132,411,645,579,505,425,84.20%,0,52,46,207,372,477,477,467,414,88.70%,86,204,273,0,0,0,0,0.00%,0,449,449,449,369,82.20%,26,31,81,368
AK-501,883,527,389,73.80%,629,254,0,157,449,434,629,343,245,71.40%,20,7,126,354,275,254,254,184,144,78.30%,31,95,159,0,0,0,0,0.00%,0,137,137,132,65,49.20%,24,23,48,89
AL-500,"1,269","1,166",690,59.20%,330,905,34,161,524,745,330,285,275,96.50%,0,55,44,98,232,905,905,847,381,45.00%,117,426,479,34,34,34,34,100.00%,34,"1,336","1,336","1,336",987,73.90%,255,199,677,659
AL-501,415,332,322,97.00%,265,150,0,73,222,193,265,213,213,100.00%,0,25,35,115,150,150,150,119,109,91.60%,38,107,43,0,0,0,0,0.00%,0,180,180,180,170,94.40%,96,23,38,142
AL-502,291,209,34,16.30%,34,257,0,20,88,203,34,34,34,100.00%,0,10,3,18,16,257,257,175,0,0.00%,17,70,187,0,0,0,0,0.00%,0,79,79,79,0,0.00%,3,0,0,79
AL-503,571,525,362,69.00%,407,164,0,47,182,389,407,361,231,64.00%,0,0,17,66,341,164,164,164,131,79.90%,30,116,48,0,0,0,0,0.00%,0,123,123,123,54,43.90%,10,11,30,93
AL-504,375,311,308,99.00%,119,256,0,29,103,272,119,109,109,100.00%,0,3,6,19,100,256,256,202,199,98.50%,23,84,172,0,0,0,0,0.00%,0,282,282,282,227,80.50%,110,25,83,199
AL-505,405,374,98,26.20%,172,233,0,39,93,312,172,151,76,50.30%,66,41,32,82,90,233,233,223,22,9.90%,7,11,222,0,0,0,0,0.00%,0,20,20,20,12,60.00%,1,20,20,0
AL-506,339,320,219,68.40%,84,255,0,42,112,227,84,65,52,80.00%,0,35,12,37,47,255,255,255,167,65.50%,30,75,180,0,0,0,0,0.00%,0,142,142,142,20,14.10%,71,4,12,130
AL-507,832,728,19,2.60%,419,413,0,83,238,594,419,316,3,0.90%,20,1,77,217,202,413,413,412,16,3.90%,6,21,392,0,0,0,0,0.00%,0,371,371,371,0,0.00%,17,3,11,360
AR-500,"1,041",885,633,71.50%,494,547,0,113,327,714,494,438,243,55.50%,0,134,47,116,378,547,547,447,390,87.20%,66,211,336,0,0,0,0,0.00%,0,704,704,698,548,78.50%,77,110,303,401
AR-501,246,199,159,79.90%,140,106,0,43,121,125,140,93,93,100.00%,0,0,20,55,85,106,106,106,66,62.30%,23,66,40,0,0,0,0,0.00%,0,100,100,100,40,40.00%,0,0,0,100
AR-503,895,732,443,60.50%,574,321,0,194,349,546,574,435,278,63.90%,0,0,139,277,297,321,321,297,165,55.60%,55,72,249,0,0,0,0,0.00%,0,111,111,107,3,2.80%,7,26,31,80
AR-504,184,101,46,45.50%,132,52,0,27,75,109,132,49,26,53.10%,0,6,27,75,57,52,52,52,20,38.50%,.,.,52,0,0,0,0,0.00%,0,117,117,117,59,50.40%,0,14,18,99
AR-505,186,79,71,89.90%,152,34,0,29,90,96,152,61,61,100.00%,0,6,22,68,84,34,34,18,10,55.60%,7,22,12,0,0,0,0,0.00%,0,24,24,24,24,100.00%,12,4,12,12
AR-507,105,90,42,46.70%,68,37,0,29,52,53,68,53,17,32.10%,0,0,20,27,41,37,37,37,25,67.60%,9,25,12,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
AR-512,53,23,23,100.00%,30,23,0,9,38,15,30,0,0,0.00%,0,0,6,26,4,23,23,23,23,100.00%,3,12,11,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
AZ-500,"1,681","1,080",815,75.50%,973,708,0,265,875,806,973,500,344,68.80%,0,157,150,498,475,708,708,580,471,81.20%,115,377,331,0,0,0,0,0.00%,0,461,461,461,395,85.70%,138,44,156,305
AZ-501,"1,917","1,772","1,732",97.70%,607,"1,295",15,312,931,986,607,490,458,93.50%,219,33,73,193,414,"1,295","1,295","1,267","1,259",99.40%,239,738,557,15,15,15,15,100.00%,15,"1,056","1,056","1,006",757,75.20%,91,141,365,691
AZ-502,"5,150","4,201","3,526",83.90%,"2,511","2,614",25,923,"2,963","2,187","2,511","1,879","1,394",74.20%,0,63,341,"1,130","1,381","2,614","2,614","2,297","2,107",91.70%,582,"1,833",781,25,25,25,25,100.00%,25,"3,214","3,214","3,214","3,164",98.40%,597,331,"1,061","2,153"
CA-500,"1,843","1,667","1,603",96.20%,661,"1,172",10,343,"1,076",767,661,600,588,98.00%,471,4,89,303,358,"1,172","1,172","1,057","1,005",95.10%,254,773,399,10,10,10,10,100.00%,10,"2,493","2,493","2,493","1,090",43.70%,"1,526",462,"1,479","1,014"
CA-501,"2,713","2,580","2,248",87.10%,"1,851",837,25,250,809,"1,904","1,851","1,774","1,517",85.50%,130,0,124,418,"1,433",837,837,781,706,90.40%,126,391,446,25,25,25,25,100.00%,25,"6,998","6,998","6,998","6,441",92.00%,"3,823",521,"1,371","5,627"
CA-502,"2,214","1,961","1,515",77.30%,890,"1,324",0,387,"1,299",915,890,682,465,68.20%,190,22,102,447,443,"1,324","1,324","1,279","1,050",82.10%,285,852,472,0,0,0,0,0.00%,0,"2,189","2,189","2,159","1,686",78.10%,444,516,"1,120","1,069"
CA-503,"1,551","1,503","1,263",84.00%,627,924,0,188,600,951,627,579,441,76.20%,105,23,53,251,376,924,924,924,822,89.00%,135,349,575,0,0,0,0,0.00%,0,"1,950","1,950","1,950","1,687",86.50%,343,314,960,990
CA-504,"1,216","1,140",924,81.10%,536,680,0,213,627,589,536,514,438,85.20%,35,6,64,201,335,680,680,626,486,77.60%,149,426,254,0,0,0,0,0.00%,0,533,533,511,410,80.20%,151,63,216,317
CA-505,913,854,592,69.30%,498,415,0,148,439,474,498,474,276,58.20%,57,26,41,152,346,415,415,380,316,83.20%,107,287,128,0,0,0,0,0.00%,0,"1,027","1,027","1,027",806,78.50%,337,179,475,552
CA-506,933,865,667,77.10%,229,704,0,124,518,415,229,190,103,54.20%,84,0,19,65,164,704,704,675,564,83.60%,105,453,251,0,0,0,0,0.00%,0,236,236,236,100,42.40%,138,25,79,157
CA-507,512,416,407,97.80%,166,346,0,77,261,251,166,166,166,100.00%,50,15,14,49,117,346,346,250,241,96.40%,63,212,134,0,0,0,0,0.00%,0,490,490,490,487,99.40%,209,19,58,432
CA-508,599,581,480,82.60%,336,263,0,120,390,209,336,318,276,86.80%,129,14,57,177,159,263,263,263,204,77.60%,63,213,50,0,0,0,0,0.00%,0,163,163,163,118,72.40%,120,9,25,138
CA-509,177,153,143,93.50%,102,75,0,13,40,137,102,88,88,100.00%,0,30,2,12,90,75,75,65,55,84.60%,11,28,47,0,0,0,0,0.00%,0,352,352,352,271,77.00%,0,53,182,170
CA-510,741,699,313,44.80%,403,338,0,147,471,270,403,377,167,44.30%,202,0,82,293,110,338,338,322,146,45.30%,65,178,160,0,0,0,0,0.00%,0,312,312,312,312,100.00%,156,42,135,177
CA-511,"2,439","2,382","1,380",57.90%,"1,740",699,0,333,"1,135","1,304","1,740","1,683",713,42.40%,133,45,165,584,"1,156",699,699,699,667,95.40%,168,551,148,0,0,0,0,0.00%,0,473,473,473,439,92.80%,145,50,154,319
CA-512,932,876,817,93.30%,160,772,0,131,544,388,160,138,125,90.60%,30,0,28,86,74,772,772,738,692,93.80%,103,458,314,0,0,0,0,0.00%,0,536,536,536,473,88.20%,284,64,171,365
CA-513,531,495,357,72.10%,233,298,0,53,209,322,233,197,147,74.60%,0,44,21,100,133,298,298,298,210,70.50%,32,109,189,0,0,0,0,0.00%,0,40,40,40,5,12.50%,5,0,0,40
CA-514,"1,686","1,517",573,37.80%,982,680,24,378,"1,028",658,982,862,20,2.30%,20,0,278,691,291,680,680,631,529,83.80%,100,337,343,24,24,24,24,100.00%,24,457,457,457,333,72.90%,246,87,221,236
CA-515,551,449,262,58.40%,156,395,0,101,330,221,156,104,104,100.00%,38,18,21,71,85,395,395,345,158,45.80%,80,259,136,0,0,0,0,0.00%,0,142,142,142,126,88.70%,35,9,31,111
CA-516,450,450,450,100.00%,138,312,0,62,167,283,138,138,138,100.00%,0,41,4,46,92,312,312,312,312,100.00%,58,121,191,0,0,0,0,0.00%,0,44,44,44,44,100.00%,44,0,0,44
CA-517,182,139,133,95.70%,99,83,0,26,89,93,99,85,85,100.00%,50,105,11,42,57,83,83,54,48,88.90%,15,47,36,0,0,0,0,0.00%,0,29,29,28,11,39.30%,13,0,0,29
CA-518,382,335,222,66.30%,196,186,0,58,174,208,196,162,97,59.90%,0,30,42,128,68,186,186,173,125,72.30%,16,46,140,0,0,0,0,0.00%,0,93,93,93,93,100.00%,93,8,16,77
CA-519,390,360,210,58.30%,203,187,0,36,130,260,203,181,120,66.30%,0,0,10,32,171,187,187,179,90,50.30%,26,98,89,0,0,0,0,0.00%,0,235,235,235,201,85.50%,39,56,163,72
CA-520,227,215,190,88.40%,115,112,0,21,55,172,115,103,103,100.00%,0,20,4,28,87,112,112,112,87,77.70%,17,27,85,0,0,0,0,0.00%,0,10,10,10,10,100.00%,10,0,0,10
CA-521,262,237,182,76.80%,87,175,0,33,137,125,87,62,52,83.90%,35,13,9,36,51,175,175,175,130,74.30%,24,101,74,0,0,0,0,0.00%,0,127,127,127,25,19.70%,49,6,19,108
CA-522,399,385,297,77.10%,238,161,0,100,245,154,238,224,136,60.70%,0,78,54,116,122,161,161,161,161,100.00%,46,129,32,0,0,0,0,0.00%,0,41,41,41,36,87.80%,41,3,9,32
CA-523,316,185,153,82.70%,155,161,0,39,180,136,155,24,18,75.00%,28,0,19,88,67,161,161,161,135,83.90%,20,92,69,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-524,368,313,0,0.00%,152,216,0,35,162,206,152,109,0,0.00%,30,0,10,43,109,216,216,204,0,0.00%,25,119,97,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-525,174,136,0,0.00%,35,139,0,32,102,72,35,9,0,0.00%,40,33,10,30,5,139,139,127,0,0.00%,22,72,67,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-526,175,107,85,79.40%,107,68,0,35,126,49,107,60,60,100.00%,0,20,19,69,38,68,68,47,25,53.20%,16,57,11,0,0,0,0,0.00%,0,10,10,10,10,100.00%,1,0,0,10
CA-528,46,18,0,0.00%,38,8,0,16,36,10,38,10,0,0.00%,0,0,8,28,10,8,8,8,0,0.00%,8,8,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-600,"13,469","11,930","6,453",54.10%,"5,071","8,353",45,"1,304","4,157","9,312","5,071","4,496","2,187",48.60%,"1,356","4,676",418,"1,448","3,623","8,353","8,353","7,389","4,221",57.10%,886,"2,709","5,644",45,45,45,45,100.00%,45,"17,115","17,115","17,068","2,806",16.40%,"1,611","3,125","8,883","8,232"
CA-601,"3,982","3,452","3,330",96.50%,389,"3,534",59,513,"1,947","2,035",389,242,225,93.00%,613,136,32,193,196,"3,534","3,534","3,151","3,048",96.70%,481,"1,754","1,780",59,59,59,57,96.60%,59,"1,644","1,644","1,644","1,129",68.70%,433,181,525,"1,119"
CA-602,"2,614","2,245","1,734",77.20%,434,"2,180",0,553,"1,840",774,434,260,197,75.80%,722,0,126,246,188,"2,180","2,180","1,985","1,537",77.40%,427,"1,594",586,0,0,0,0,0.00%,0,"1,205","1,205","1,205","1,070",88.80%,439,137,425,780
CA-603,"1,044",924,587,63.50%,475,569,0,76,508,536,475,425,316,74.40%,156,70,28,242,233,569,569,499,271,54.30%,48,266,303,0,0,0,0,0.00%,0,587,587,587,123,21.00%,188,62,142,445
CA-604,716,624,483,77.40%,456,260,0,44,250,466,456,364,356,97.80%,0,98,36,226,230,260,260,260,127,48.80%,8,24,236,0,0,0,0,0.00%,0,666,666,666,650,97.60%,120,137,368,298
CA-605,292,267,253,94.80%,13,269,10,54,209,83,13,0,0,0.00%,114,0,4,13,0,269,269,257,243,94.60%,50,196,73,10,10,10,10,100.00%,10,324,324,324,305,94.10%,69,35,93,231
CA-606,"1,031",861,569,66.10%,347,659,25,119,422,609,347,285,103,36.10%,130,0,39,161,186,659,659,551,441,80.00%,80,261,398,25,25,25,25,100.00%,25,747,747,747,286,38.30%,196,72,222,525
CA-607,270,234,234,100.00%,126,144,0,34,156,114,126,90,90,100.00%,213,0,6,74,52,144,144,144,144,100.00%,28,82,62,0,0,0,0,0.00%,0,175,175,175,172,98.30%,76,10,32,143
CA-608,"1,420","1,192","1,092",91.60%,704,716,0,229,794,626,704,584,484,82.90%,72,12,103,308,396,716,716,608,608,100.00%,126,486,230,0,0,0,0,0.00%,0,508,508,508,478,94.10%,174,70,110,398
CA-609,"1,128",883,536,60.70%,414,714,0,211,896,232,414,325,171,52.60%,156,282,79,269,145,714,714,558,365,65.40%,132,627,87,0,0,0,0,0.00%,0,323,323,323,171,52.90%,81,31,115,208
CA-611,234,234,66,28.20%,105,129,0,31,129,105,105,105,0,0.00%,100,0,3,42,63,129,129,129,66,51.20%,28,87,42,0,0,0,0,0.00%,0,45,45,45,20,44.40%,13,0,0,45
CA-612,148,138,138,100.00%,50,98,0,32,136,12,50,40,40,100.00%,150,0,2,38,12,98,98,98,98,100.00%,30,98,0,0,0,0,0,0.00%,0,141,141,141,65,46.10%,27,33,88,53
CA-613,183,183,163,89.10%,107,76,0,81,133,50,107,107,107,100.00%,0,0,57,57,50,76,76,76,56,73.70%,24,76,.,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-614,204,140,31,22.10%,134,70,0,19,87,117,134,101,0,0.00%,0,40,9,56,78,70,70,39,31,79.50%,10,31,39,0,0,0,0,0.00%,0,70,70,70,20,28.60%,17,1,3,67
CO-500,"1,141",774,632,81.70%,662,479,0,202,823,318,662,385,298,77.40%,40,65,101,415,247,479,479,389,334,85.90%,101,408,71,0,0,0,0,0.00%,0,469,469,469,226,48.20%,90,17,55,414
CO-503,"4,394","4,052","3,624",89.40%,"1,602","2,767",25,977,"2,362","2,032","1,602","1,287","1,094",85.00%,270,440,304,727,875,"2,767","2,767","2,740","2,505",91.40%,673,"1,635","1,132",25,25,25,25,100.00%,25,"2,241","2,241","2,241","2,116",94.40%,726,278,709,"1,532"
CO-504,826,794,688,86.60%,355,471,0,83,290,536,355,323,313,96.90%,0,127,20,88,267,471,471,471,375,79.60%,63,202,269,0,0,0,0,0.00%,0,237,237,237,160,67.50%,143,24,74,163
CT-501,689,672,589,87.60%,429,260,0,97,279,410,429,412,412,100.00%,78,13,54,175,254,260,260,260,177,68.10%,43,104,156,0,0,0,0,0.00%,0,807,807,807,659,81.70%,176,119,377,430
CT-502,710,675,627,92.90%,266,444,0,70,203,507,266,245,245,100.00%,164,30,20,55,211,444,444,430,382,88.80%,50,148,296,0,0,0,0,0.00%,0,714,714,714,559,78.30%,480,62,201,513
CT-503,523,499,320,64.10%,313,210,0,66,221,302,313,298,184,61.70%,0,74,43,140,173,210,210,201,136,67.70%,23,81,129,0,0,0,0,0.00%,0,806,806,800,473,59.10%,245,125,400,406
CT-505,"1,426","1,226","1,086",88.60%,885,541,0,205,645,781,885,770,687,89.20%,130,47,116,390,495,541,541,456,399,87.50%,89,255,286,0,0,0,0,0.00%,0,"1,735","1,735","1,693","1,351",79.80%,603,260,763,972
CT-506,146,134,131,97.80%,146,0,0,11,59,87,146,134,131,97.80%,3,50,11,59,87,0,0,0,0,0.00%,0,0,0,0,0,0,0,0.00%,0,177,177,177,177,100.00%,107,13,37,140
CT-508,246,231,231,100.00%,128,118,0,42,99,147,128,113,113,100.00%,16,27,14,36,92,118,118,118,118,100.00%,28,63,55,0,0,0,0,0.00%,0,128,128,128,86,67.20%,35,7,23,105
CT-512,166,152,152,100.00%,166,0,0,24,90,76,166,152,152,100.00%,0,19,24,90,76,0,0,0,0,0.00%,0,0,0,0,0,0,0,0.00%,0,354,354,354,289,81.60%,67,55,175,179
DC-500,"6,479","6,373","5,491",86.20%,"3,427","3,052",0,"1,024","3,033","3,446","3,427","3,341","3,177",95.10%,673,0,371,"1,082","2,345","3,052","3,052","3,032","2,314",76.30%,653,"1,951","1,101",0,0,0,0,0.00%,0,"5,566","5,566","5,531","3,266",59.00%,"3,882",696,"2,222","3,344"
DE-500,"1,216","1,146",682,59.50%,515,691,10,169,541,675,515,445,289,64.90%,125,101,68,201,314,691,691,691,383,55.40%,101,340,351,10,10,10,10,100.00%,10,471,471,471,383,81.30%,168,14,37,434
FL-500,"1,032",947,528,55.80%,433,599,0,90,316,716,433,372,334,89.80%,0,11,33,129,304,599,599,575,194,33.70%,57,187,412,0,0,0,0,0.00%,0,228,228,228,101,44.30%,18,3,18,210
FL-501,"1,234","1,084",699,64.50%,435,774,25,165,496,738,435,333,174,52.30%,0,0,51,114,321,774,774,726,500,68.90%,114,382,392,25,25,25,25,100.00%,25,737,737,737,268,36.40%,86,93,235,502
FL-502,"2,117","1,960","1,749",89.20%,"1,224",848,45,200,559,"1,558","1,224","1,165","1,116",95.80%,0,11,85,246,978,848,848,750,588,78.40%,115,313,535,45,45,45,45,100.00%,45,693,693,693,296,42.70%,94,20,74,619
FL-503,434,408,340,83.30%,200,234,0,37,170,264,200,174,142,81.60%,0,94,11,54,146,234,234,234,198,84.60%,26,116,118,0,0,0,0,0.00%,0,211,211,211,134,63.50%,22,34,90,121
FL-504,611,463,463,100.00%,95,516,0,87,374,237,95,38,38,100.00%,33,33,9,31,64,516,516,425,425,100.00%,78,343,173,0,0,0,0,0.00%,0,208,208,208,123,59.10%,68,18,54,154
FL-505,357,308,196,63.60%,150,207,0,79,163,194,150,122,104,85.20%,130,35,45,86,64,207,207,186,92,49.50%,34,77,130,0,0,0,0,0.00%,0,75,75,75,75,100.00%,75,0,0,75
FL-506,799,670,512,76.40%,333,466,0,87,302,497,333,276,197,71.40%,100,118,38,123,210,466,466,394,315,79.90%,49,179,287,0,0,0,0,0.00%,0,489,489,489,383,78.30%,139,80,300,189
FL-507,"2,837","2,574","1,879",73.00%,"1,112","1,700",25,374,"1,325","1,512","1,112",916,797,87.00%,0,305,95,365,747,"1,700","1,700","1,633","1,057",64.70%,279,960,740,25,25,25,25,100.00%,25,811,811,811,148,18.20%,98,25,56,755
FL-508,491,375,161,42.90%,267,224,0,71,222,269,267,185,54,29.20%,94,31,33,130,137,224,224,190,107,56.30%,38,92,132,0,0,0,0,0.00%,0,299,299,299,299,100.00%,118,21,72,227
FL-509,233,185,185,100.00%,109,124,0,59,205,28,109,61,61,100.00%,0,0,29,99,10,124,124,124,124,100.00%,30,106,18,0,0,0,0,0.00%,0,221,221,221,210,95.00%,143,38,56,165
FL-510,"1,747","1,606","1,456",90.70%,827,920,0,257,758,989,827,686,672,98.00%,110,93,63,267,560,920,920,920,784,85.20%,194,491,429,0,0,0,0,0.00%,0,916,916,916,699,76.30%,289,60,172,744
FL-511,718,647,491,75.90%,200,518,0,62,269,449,200,129,101,78.30%,0,22,22,110,90,518,518,518,390,75.30%,40,159,359,0,0,0,0,0.00%,0,247,247,247,202,81.80%,84,0,0,247
FL-512,232,164,144,87.80%,81,151,0,73,177,55,81,37,37,100.00%,0,50,18,36,45,151,151,127,107,84.30%,55,141,10,0,0,0,0,0.00%,0,40,40,40,4,10.00%,0,0,0,40
FL-513,677,657,521,79.30%,124,553,0,106,395,282,124,104,54,51.90%,132,0,11,50,74,553,553,553,467,84.40%,95,345,208,0,0,0,0,0.00%,0,147,147,147,147,100.00%,0,18,59,88
FL-514,672,604,361,59.80%,219,453,0,21,256,416,219,151,151,100.00%,30,3,3,133,86,453,453,453,210,46.40%,18,123,330,0,0,0,0,0.00%,0,80,80,80,65,81.30%,12,33,52,28
FL-515,271,238,234,98.30%,104,167,0,40,113,158,104,71,71,100.00%,16,48,9,39,65,167,167,167,163,97.60%,31,74,93,0,0,0,0,0.00%,0,35,35,35,0,0.00%,0,0,0,35
FL-516,106,106,72,67.90%,40,66,0,18,76,30,40,40,40,100.00%,0,0,2,30,10,66,66,66,32,48.50%,16,46,20,0,0,0,0,0.00%,0,12,12,12,12,100.00%,0,4,12,0
FL-517,125,125,16,12.80%,64,61,0,17,46,79,64,64,0,0.00%,0,0,3,8,56,61,61,61,16,26.20%,14,38,23,0,0,0,0,0.00%,0,84,84,84,32,38.10%,28,8,38,46
FL-518,105,55,55,100.00%,54,51,0,33,87,18,54,12,12,100.00%,0,0,4,52,2,51,51,43,43,100.00%,29,35,16,0,0,0,0,0.00%,0,36,36,36,11,30.60%,0,36,36,0
FL-519,221,165,165,100.00%,161,60,0,35,82,139,161,105,105,100.00%,60,0,35,82,79,60,60,60,60,100.00%,.,.,60,0,0,0,0,0.00%,0,172,172,172,64,37.20%,144,53,138,34
FL-520,435,317,268,84.50%,190,245,0,77,237,198,190,78,54,69.20%,30,28,42,146,44,245,245,239,214,89.50%,35,91,154,0,0,0,0,0.00%,0,75,75,75,67,89.30%,15,6,18,57
FL-600,"3,406","2,906","2,195",75.50%,"1,429","1,949",28,461,"1,588","1,818","1,429","1,300","1,017",78.20%,0,156,207,632,797,"1,949","1,949","1,578","1,150",72.90%,254,956,993,28,28,28,28,100.00%,28,"2,851","2,851","2,851","2,628",92.20%,703,366,"1,224","1,627"
FL-601,"2,764","2,702","1,585",58.70%,717,"2,012",35,226,697,"2,067",717,655,572,87.30%,0,538,53,243,474,"2,012","2,012","2,012",978,48.60%,173,454,"1,558",35,35,35,35,100.00%,35,"1,562","1,562","1,562",613,39.20%,274,290,931,631
FL-602,192,168,143,85.10%,76,112,4,51,57,135,76,52,52,100.00%,0,5,12,18,58,112,112,112,87,77.70%,39,39,73,4,4,4,4,100.00%,4,51,51,51,47,92.20%,3,6,12,39
FL-603,520,440,340,77.30%,260,260,0,28,117,403,260,180,160,88.90%,0,0,24,105,155,260,260,260,180,69.20%,4,12,248,0,0,0,0,0.00%,0,315,315,315,99,31.40%,59,200,206,109
FL-604,418,360,360,100.00%,228,190,0,34,110,308,228,170,170,100.00%,0,60,20,62,166,190,190,190,190,100.00%,14,48,142,0,0,0,0,0.00%,0,174,174,174,160,92.00%,56,13,31,143
