CoC Number,CoC Name,"Total Homeless, 2007","Sheltered Homeless, 2007","Unsheltered Homeless, 2007","Homeless Individuals, 2007","Sheltered Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Homeless People in Families, 2007","Sheltered Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Chronically Homeless Individuals, 2007","Sheltered Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007"
MI-513,"Marquette, Alger Counties CoC",37,37,0,16,16,0,21,21,0,0,0,0
MI-514,Battle Creek/Calhoun County CoC,205,117,88,140,60,80,65,57,8,41,36,5
MI-515,Monroe City & County CoC,142,131,11,109,98,11,33,33,0,16,6,10
MI-516,Norton Shores/Muskegon City & County CoC,332,147,185,152,100,52,180,47,133,75,21,54
MI-517,Jackson City & County CoC,463,282,181,186,75,111,277,207,70,23,0,23
MI-518,Livingston County CoC,63,58,5,25,20,5,38,38,0,4,3,1
MI-519,Holland/Ottawa County CoC,319,306,13,109,106,3,210,200,10,3,0,3
MI-523,Eaton County CoC,197,105,92,37,2,35,160,103,57,3,2,1
MN-500,Minneapolis/Hennepin County CoC,"2,984","2,428",556,"1,511",991,520,"1,473","1,437",36,763,567,196
MN-501,Saint Paul/Ramsey County CoC,"1,294","1,170",124,618,503,115,676,667,9,240,189,51
MN-502,Rochester/Southeast Minnesota CoC,446,413,33,143,127,16,303,286,17,32,26,6
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",800,664,136,141,95,46,659,569,90,39,19,20
MN-504,Northeast Minnesota CoC,232,116,116,76,16,60,156,100,56,27,7,20
MN-505,St. Cloud/Central Minnesota CoC,389,313,76,187,144,43,202,169,33,69,33,36
MN-506,Northwest Minnesota CoC,266,235,31,114,91,23,152,144,8,45,34,11
MN-508,Moorhead/West Central Minnesota CoC,242,165,77,144,75,69,98,90,8,82,49,33
MN-509,Duluth/St.Louis County CoC,501,294,207,270,105,165,231,189,42,105,35,70
MN-511,Southwest Minnesota CoC,169,80,89,65,34,31,104,46,58,12,8,4
MO-500,St. Louis County CoC,336,290,46,90,50,40,246,240,6,44,18,26
MO-501,St.Louis City CoC,"1,386","1,173",213,800,587,213,586,586,0,258,238,20
MO-503,"St. Charles, Lincoln, Warren Counties CoC",498,227,271,222,113,109,276,114,162,38,15,23
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",518,478,40,326,286,40,192,192,0,94,76,18
MO-602,"Joplin/Jasper, Newton Counties CoC",306,298,8,219,211,8,87,87,0,21,13,8
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",100,100,0,65,65,0,35,35,0,49,49,0
MO-604a,"Kansas City, Independence, Lee?s Summit/Jackson, Wyandotte Counties, MO & KS","1,786","1,575",211,947,764,183,839,811,28,495,382,113
MO-606,Missouri Balance of State CoC,"1,504","1,126",378,794,560,234,710,566,144,245,136,109
MS-500,"Jackson/Rankin, Madison Counties CoC",718,440,278,626,348,278,92,92,0,372,94,278
MS-501,Mississippi Balance of State CoC,385,344,41,233,192,41,152,152,0,99,70,29
MS-503,Gulf Port/Gulf Coast Regional CoC,274,67,207,256,53,203,18,14,4,122,5,117
MT-500,Montana Statewide CoC,"1,150",855,295,633,398,235,517,457,60,83,35,48
NC-500,Winston Salem/Forsyth County CoC,503,479,24,366,342,24,137,137,0,122,98,24
NC-501,Asheville/Buncombe County CoC,635,448,187,542,355,187,93,93,0,105,22,83
NC-502,Durham City & County CoC,539,502,37,436,399,37,103,103,0,95,58,37
NC-503,North Carolina Balance of State CoC,"2,610","1,552","1,058","1,436",838,598,"1,174",714,460,277,171,106
NC-504,Greensboro/High Point CoC,"1,182",980,202,878,692,186,304,288,16,212,142,70
NC-505,Charlotte/Mecklenberg CoC,"1,976","1,648",328,"1,564","1,239",325,412,409,3,222,137,85
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",628,419,209,459,340,119,169,79,90,206,87,119
NC-507,Raleigh/Wake County CoC,"1,043",973,70,705,635,70,338,338,0,79,68,11
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",652,214,438,568,151,417,84,63,21,155,4,151
NC-511,Fayetteville/Cumberland County CoC,757,313,444,445,168,277,312,145,167,49,19,30
NC-513,Chapel Hill/Orange County CoC,208,183,25,148,127,21,60,56,4,46,36,10
NC-516,Northwest North Carolina CoC,"1,069",168,901,844,107,737,225,61,164,77,4,73
ND-500,North Dakota Statewide CoC,636,577,59,403,379,24,233,198,35,80,71,9
NE-500,Nebraska Balance of State CoC,695,537,158,298,229,69,397,308,89,45,21,24
NE-501,Omaha/Council Bluffs CoC,"1,870","1,632",238,"1,338","1,100",238,532,532,0,615,429,186
NE-502,Lincoln CoC,966,838,128,536,408,128,430,430,0,125,36,89
NH-500,New Hampshire Balance of State CoC,"1,300",769,531,665,397,268,635,372,263,137,116,21
NH-501,Manchester CoC,504,307,197,345,172,173,159,135,24,135,112,23
NH-502,Nashua/Hillsborough County CoC,444,197,247,245,82,163,199,115,84,95,35,60
NJ-500,Atlantic City & County CoC,514,425,89,358,272,86,156,153,3,138,84,54
NJ-501,Bergen County CoC,"1,392","1,210",182,623,507,116,769,703,66,65,23,42
NJ-502,Burlington County CoC,896,780,116,610,508,102,286,272,14,218,187,31
NJ-503,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC","1,433","1,124",309,"1,005",739,266,428,385,43,214,105,109
NJ-504,Newark/Essex County CoC,"2,326","1,906",420,"1,409","1,080",329,917,826,91,379,182,197
NJ-506,Jersey City/Bayonne/Hudson County CoC,"2,842","2,678",164,891,727,164,"1,951","1,951",0,414,293,121
NJ-507,New Brunswick/Middlesex County CoC,996,728,268,722,478,244,274,250,24,245,164,81
NJ-508,Monmouth County CoC,830,757,73,442,381,61,388,376,12,90,40,50
NJ-509,Morris County CoC,292,229,63,152,89,63,140,140,0,91,28,63
NJ-510,Lakewood Township/Ocean County CoC,424,381,43,257,214,43,167,167,0,44,21,23
NJ-511,Paterson/Passaic County CoC,"1,062",831,231,378,275,103,684,556,128,194,152,42
NJ-512,Salem County CoC,465,454,11,251,240,11,214,214,0,15,6,9
NJ-513,Somerset County CoC,366,343,23,219,196,23,147,147,0,24,13,11
NJ-514,Trenton/Mercer County CoC,"1,598","1,242",356,840,629,211,758,613,145,194,124,70
NJ-515,Elizabeth/Union County CoC,"1,188","1,072",116,423,319,104,765,753,12,79,46,33
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",690,676,14,392,380,12,298,296,2,121,114,7
NM-500,Albuquerque CoC,"1,276",989,287,821,606,215,455,383,72,159,78,81
NM-501,New Mexico Balance of State CoC,"1,739",759,980,"1,040",457,583,699,302,397,552,167,385
NV-500,Las Vegas/Clark County CoC,"7,533","3,844","3,689","5,624","2,902","2,722","1,909",942,967,808,174,634
NV-501,Reno/Sparks/Washoe County CoC,863,765,98,742,647,95,121,118,3,33,0,33
NV-502,Nevada Balance of State CoC,246,209,37,111,90,21,135,119,16,30,17,13
NY-500,Rochester/Irondequoit/Greece/Monroe County CoC,612,602,10,337,327,10,275,275,0,81,71,10
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",175,174,1,139,138,1,36,36,0,5,4,1
NY-503,Albany City & County CoC,619,539,80,396,331,65,223,208,15,68,24,44
NY-504,Cattaragus County CoC,142,104,38,95,67,28,47,37,10,0,0,0
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",795,762,33,634,617,17,161,145,16,74,66,8
NY-507,Schenectady City & County CoC,288,209,79,156,92,64,132,117,15,35,29,6
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","1,377","1,203",174,929,755,174,448,448,0,207,83,124
NY-510,Ithaca/Tompkins County CoC,78,62,16,46,30,16,32,32,0,8,6,2
NY-511,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C",243,203,40,212,177,35,31,26,5,69,46,23
NY-512,Troy/Rensselaer County CoC,212,166,46,79,41,38,133,125,8,31,15,16
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",98,98,0,47,47,0,51,51,0,3,3,0
NY-514,Jamestown/Dunkirk/Chautauqua County CoC,75,67,8,26,18,8,49,49,0,0,0,0
NY-515,Cortland County CoC,.,.,.,.,.,.,.,.,.,.,.,.
NY-516,Clinton County CoC,53,48,5,50,45,5,3,3,0,8,7,1
NY-518,"Utica/Rome/Oneida, Madison Counties CoC",334,318,16,193,177,16,141,141,0,21,10,11
NY-519,Columbia/Greene County CoC,325,311,14,140,128,12,185,183,2,12,8,4
NY-520,Franklin County CoC,28,27,1,20,19,1,8,8,0,3,3,0
NY-523,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",255,146,109,182,86,96,73,60,13,40,10,30
NY-600,New York City CoC,"50,372","46,617","3,755","21,357","17,602","3,755","29,015","29,015",0,"5,233","1,853","3,380"
NY-601,Poughkeepsie/Dutchess County CoC,547,463,84,288,233,55,259,230,29,134,88,46
NY-602,Newburgh/Middletown/Orange County CoC,414,227,187,301,118,183,113,109,4,137,0,137
NY-603,"Nassau, Suffolk Counties/Babylon/Islip/ Huntington CoC","2,509","2,351",158,789,631,158,"1,720","1,720",0,52,37,15
NY-604,Yonkers/Mount Vernon/New Rochelle/Westchester CoC,"1,829","1,693",136,690,554,136,"1,139","1,139",0,140,43,97
NY-606,Rockland County CoC,488,435,53,446,393,53,42,42,0,34,0,34
NY-607,Sullivan County CoC,343,267,76,226,159,67,117,108,9,32,0,32
NY-608,Kingston/Ulster County CoC,359,158,201,247,91,156,112,67,45,49,7,42
NY-609,Putnam County CoC,31,31,0,31,31,0,0,0,0,0,0,0
OH-500,Cincinnati/Hamilton County CoC,"1,046",987,59,720,661,59,326,326,0,226,204,22
OH-501,Toledo/Lucas County CoC,745,631,114,424,319,105,321,312,9,200,95,105
OH-502,Cleveland/Cuyahoga County CoC,"2,185","2,001",184,"1,686","1,517",169,499,484,15,652,540,112
OH-503,Columbus/Franklin County CoC,"1,373","1,259",114,941,827,114,432,432,0,503,400,103
OH-504,Youngstown/Mahoning County CoC,249,232,17,121,104,17,128,128,0,28,23,5
OH-505,Dayton/Kettering/Montgomery County CoC,785,719,66,504,438,66,281,281,0,120,78,42
OH-506,Akron/Barberton/Summit County CoC,824,632,192,575,414,161,249,218,31,215,71,144
OH-507,Ohio Balance of State CoC,"3,521","2,498","1,023","1,616","1,124",492,"1,905","1,374",531,315,166,149
OH-508,Canton/Massillon/Alliance/Stark County CoC,536,421,115,283,188,95,253,233,20,49,24,25
OK-500,North Central Oklahoma CoC,212,173,39,142,112,30,70,61,9,18,6,12
OK-501,Tulsa City & County/Broken Arrow CoC,666,594,72,478,423,55,188,171,17,97,75,22
OK-502,Oklahoma City CoC,"1,734","1,278",456,"1,421",993,428,313,285,28,533,233,300
OK-503,Oklahoma Balance of State CoC,231,149,82,154,84,70,77,65,12,0,0,0
OK-504,Norman/Cleveland County CoC,594,322,272,329,226,103,265,96,169,70,24,46
OK-505,Northeast Oklahoma CoC,305,150,155,162,109,53,143,41,102,38,36,2
OK-506,Southwest Oklahoma Regional CoC,250,226,24,185,161,24,65,65,0,11,11,0
OK-507,Southeastern Oklahoma Regional CoC,229,197,32,111,93,18,118,104,14,12,10,2
OR-500,Eugene/Springfield/Lane County CoC,"2,332","1,560",772,"1,295",816,479,"1,037",744,293,707,523,184
OR-501,Portland-Gresham-Multnomah County CoC,"3,918","2,284","1,634","3,005","1,442","1,563",913,842,71,596,210,386
OR-502,Medford/Ashland/Jackson County CoC,624,351,273,389,164,225,235,187,48,51,0,51
OR-503,Central Oregon CoC,"2,029",315,"1,714",727,136,591,"1,302",179,"1,123",324,27,297
OR-505,Oregon Balance of State CoC,"6,431","3,385","3,046","2,902","1,433","1,469","3,529","1,952","1,577",711,320,391
OR-506,Hillsboro/Beaverton/Washington County CoC,680,268,412,395,88,307,285,180,105,248,3,245
OR-507,Clackamas County CoC,"1,576",166,"1,410","1,158",41,"1,117",418,125,293,192,4,188
PA-500,Philadelphia CoC,"7,640","7,193",447,"3,869","3,422",447,"3,771","3,771",0,654,252,402
PA-501,Harrisburg/Dauphin County CoC,412,358,54,264,216,48,148,142,6,118,85,33
PA-502,Upper Darby/Chester/Haverford/Delaware County CoC,696,659,37,217,180,37,479,479,0,76,62,14
PA-503,Wilkes-Barre/Hazleton/Luzerne County CoC,188,165,23,118,95,23,70,70,0,16,2,14
PA-504,Lower Marion/Norristown/Abington/Montgomery County CoC,526,407,119,208,164,44,318,243,75,52,42,10
PA-505,Chester County CoC,387,300,87,178,99,79,209,201,8,48,48,0
PA-506,Reading/Berks County CoC,739,681,58,297,239,58,442,442,0,79,51,28
PA-508,Scranton/Lackawanna County CoC,222,202,20,91,79,12,131,123,8,31,25,6
PA-509,Eastern Pennsylvania CoC,"1,662","1,549",113,749,656,93,913,893,20,151,102,49
PA-510,Lancaster City & County CoC,589,549,40,325,289,36,264,260,4,42,32,10
PA-511,Bristol/Bensalem/Bucks County CoC,262,254,8,143,135,8,119,119,0,8,8,0
PA-600,Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC,"1,380","1,132",248,901,655,246,479,477,2,143,86,57
PA-601,Western Pennsylvania CoC,911,844,67,459,404,55,452,440,12,77,61,16
PA-603,Beaver County CoC,213,131,82,189,110,79,24,21,3,33,1,32
PA-605,Erie City & County CoC,393,317,76,221,189,32,172,128,44,61,57,4
PR-502,Puerto Rico Balance of Commonwealth CoC,"2,004",566,"1,438","1,909",495,"1,414",95,71,24,"1,475",126,"1,349"
PR-503,South/Southeast Puerto Rico CoC,"2,305",802,"1,503","2,005",655,"1,350",300,147,153,"1,429",459,970
RI-500,Rhode Island Statewide CoC,"1,372","1,323",49,643,599,44,729,724,5,134,90,44
SC-500,Charleston/Low Country CoC,539,482,57,432,381,51,107,101,6,46,39,7
SC-501,Greenville/Anderson/Spartanburg Upstate CoC,"1,606","1,100",506,"1,089",708,381,517,392,125,273,215,58
SC-502,Columbia/Midlands CoC,"1,569",946,623,"1,278",720,558,291,226,65,185,105,80
SC-503,Myrtle Beach/Sumter City & County CoC,"1,946",558,"1,388",972,221,751,974,337,637,69,8,61
SD-500,South Dakota Statewide CoC,579,538,41,268,235,33,311,303,8,104,79,25
TN-500,Chattanooga/Southeast Tennessee CoC,"1,064",307,757,977,235,742,87,72,15,679,44,635
TN-501,Memphis/Shelby County CoC,"1,814","1,744",70,"1,181","1,111",70,633,633,0,87,52,35
TN-502,Knoxville/Knox County CoC,956,830,126,794,676,118,162,154,8,162,125,37
TN-503,Central Tennessee CoC,360,281,79,251,200,51,109,81,28,33,22,11
TN-504,Nashville/Davidson County CoC,"2,156","1,766",390,"1,996","1,614",382,160,152,8,824,442,382
TN-506,Oak Ridge/Upper Cumberland CoC,704,196,508,333,116,217,371,80,291,217,79,138
TN-507,Jackson/West Tennessee CoC,"2,255",254,"2,001","1,695",209,"1,486",560,45,515,310,20,290
TN-509,Appalachian Regional CoC,559,345,214,478,272,206,81,73,8,88,46,42
TN-510,Murfreesboro/Rutherford County CoC,438,290,148,375,244,131,63,46,17,112,38,74
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",904,433,471,382,46,336,522,387,135,255,28,227
TX-500,San Antonio/Bexar County CoC,"2,247","1,798",449,"1,375",945,430,872,853,19,218,96,122
TX-503,Austin/Travis County CoC,"5,281","1,395","3,886","3,116",773,"2,343","2,165",622,"1,543",443,92,351
TX-600,Dallas City & County/Irving CoC,"3,408","3,041",367,"2,046","1,683",363,"1,362","1,358",4,574,472,102
TX-601,Fort Worth/Arlington/Tarrant County CoC,"2,876","2,675",201,"1,550","1,349",201,"1,326","1,326",0,479,392,87
TX-603,El Paso City & County CoC,"1,241",968,273,804,531,273,437,437,0,208,72,136
TX-604,Waco/McLennan County CoC,431,259,172,321,176,145,110,83,27,70,32,38
TX-607,Texas Balance of State (BoS) CoC,"12,958","6,998","5,960","8,406","4,385","4,021","4,552","2,613","1,939","1,990",978,"1,012"
TX-611,Amarillo CoC,431,298,133,258,136,122,173,162,11,75,53,22
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",263,214,49,223,174,49,40,40,0,207,158,49
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC","10,363","5,017","5,346","8,054","2,860","5,194","2,309","2,157",152,"3,627",906,"2,721"
TX-701,Bryan/College Station/Brazos Valley CoC,289,219,70,153,107,46,136,112,24,40,39,1
UT-500,Salt Lake City & County CoC,"2,079","1,881",198,"1,390","1,192",198,689,689,0,545,347,198
UT-503,Utah Balance of State CoC,716,630,86,470,384,86,246,246,0,217,131,86
UT-504,Provo/Mountainland CoC,216,187,29,85,56,29,131,131,0,39,10,29
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC","1,158","1,014",144,917,775,142,241,239,2,185,43,142
VA-501,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC",699,543,156,513,373,140,186,170,16,112,74,38
VA-502,Roanoke City & County/Salem CoC,566,528,38,485,447,38,81,81,0,168,130,38
VA-503,Virginia Beach CoC,476,430,46,178,145,33,298,285,13,60,41,19
VA-504,Charlottesville CoC,265,237,28,196,168,28,69,69,0,31,29,2
VA-505,Newport News/Hampton/Virginia Peninsula CoC,908,569,339,562,359,203,346,210,136,247,107,140
VA-507,Portsmouth CoC,217,165,52,137,85,52,80,80,0,42,10,32
VA-508,Lynchburg CoC,289,98,191,224,61,163,65,37,28,59,21,38
VA-513,"Harrisburg, Winchester/Western Virginia CoC",382,326,56,195,152,43,187,174,13,36,21,15
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",561,515,46,88,44,44,473,471,2,65,29,36
VA-521,Virginia Balance of State (BoS) CoC,970,707,263,505,341,164,465,366,99,96,69,27
VA-600,Arlington County CoC,462,243,219,325,106,219,137,137,0,273,54,219
VA-601,Fairfax County CoC,"1,593","1,439",154,647,493,154,946,946,0,335,207,128
VA-602,Loudoun County CoC,211,114,97,81,13,68,130,101,29,52,3,49
VA-603,City of Alexandria CoC,375,283,92,230,138,92,145,145,0,114,51,63
VA-604,Prince William County CoC,614,356,258,240,92,148,374,264,110,88,34,54
VI-500,Virgin Islands CoC,559,72,487,537,50,487,22,22,0,487,0,487
VT-500,Vermont Balance of State CoC,796,516,280,485,294,191,311,222,89,162,45,117
VT-501,Burlington/Chittenden County CoC,239,204,35,114,86,28,125,118,7,29,15,14
WA-500,Seattle/King County CoC,"7,902","5,680","2,222","5,107","2,951","2,156","2,795","2,729",66,932,693,239
WA-501,Washington Balance of State CoC,"6,995","4,968","2,027","3,430","2,065","1,365","3,565","2,903",662,787,309,478
WA-502,Spokane City & County CoC,"1,357","1,012",345,762,546,216,595,466,129,257,179,78
WA-503,Tacoma/Lakewood/Pierce County CoC,"1,596","1,342",254,660,435,225,936,907,29,192,0,192
WA-504,Everett/Snohomish County CoC,"3,453","2,150","1,303","2,196","1,214",982,"1,257",936,321,207,68,139
WA-507,Yakima City & County CoC,684,541,143,385,286,99,299,255,44,89,18,71
WA-508,Vancouver/Clark County CoC,"1,392","1,164",228,749,616,133,643,548,95,139,66,73
WI-500,Wisconsin Balance of State CoC,"3,105","2,817",288,"1,044",866,178,"2,061","1,951",110,299,178,121
WI-501,Milwaukee City & County CoC,"1,470","1,295",175,769,683,86,701,612,89,234,190,44
WI-502,Racine City & County CoC,256,250,6,138,138,0,118,112,6,29,29,0
WI-503,Madison/Dane County CoC,817,723,94,452,384,68,365,339,26,127,71,56
WV-500,Wheeling/Weirton Area CoC,118,96,22,104,85,19,14,11,3,9,0,9
WV-501,"Huntington/Cabell, Wayne Counties CoC",331,273,58,235,177,58,96,96,0,68,48,20
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",325,263,62,262,200,62,63,63,0,133,121,12
WV-508,West Virginia Balance of State CoC,"1,635","1,515",120,"1,314","1,262",52,321,253,68,941,889,52
WY-500,Wyoming Statewide CoC,537,397,140,331,257,74,206,140,66,38,0,38
,Total,"647,258","391,401","255,857","412,700","213,073","199,627","234,558","178,328","56,230","119,813","41,768","78,045"
,,,,,,,,,,,,,
"a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory, the sum of the point-in-time estimates the CoC separately reported for the portions of its territory in MO and in KS. However, in the companion file, Point-in-Time Estimates by State, MO-604's data have been split up between MO and KS.",,,,,,,,,,,,,
,,,,,,,,,,,,,
